Year,Degree,Experience,Billing
2014,Bachelor,11,26700000
2014,Bachelor,12,28200000
2014,Bachelor,13,29700000
2014,Bachelor,14,31200000
2014,Bachelor,15,32700000
2014,Bachelor,16,34200000
2014,Bachelor,17,35700000
2014,Bachelor,18,37200000
2014,Bachelor,19,38700000
2014,Bachelor,20,40200000
2014,Bachelor,21,41700000
2014,Bachelor,22,43200000
2014,Bachelor,23,44700000
2014,Bachelor,24,46200000
2014,Bachelor,25,47700000
2014,Master,5,18300000
2014,Master,6,20100000
2014,Master,7,22050000
2014,Master,8,23850000
2014,Master,9,25650000
2014,Master,10,27450000
2014,Master,11,29250000
2014,Master,12,31050000
2014,Master,13,33000000
2014,Master,14,34800000
2014,Master,15,36600000
2014,Master,16,38400000
2014,Master,17,40200000
2014,Master,18,42000000
2014,Master,19,43950000
2014,Master,20,45750000
2014,Master,21,47550000
2014,Master,22,49350000
2014,Master,23,51150000
2014,Master,24,52950000
2014,Master,25,54900000
2014,Doctorate,9,28650000
2014,Doctorate,10,30600000
2014,Doctorate,11,32550000
2014,Doctorate,12,34650000
2014,Doctorate,13,36600000
2014,Doctorate,14,38550000
2014,Doctorate,15,40500000
2014,Doctorate,16,42600000
2014,Doctorate,17,44550000
2014,Doctorate,18,46500000
2014,Doctorate,19,48450000
2014,Doctorate,20,50550000
2014,Doctorate,21,52500000
2014,Doctorate,22,54450000
2014,Doctorate,23,56400000
2014,Doctorate,24,58500000
2014,Doctorate,25,60450000
2015,Bachelor,3,16750000
2015,Bachelor,4,18250000
2015,Bachelor,5,19750000
2015,Bachelor,6,21250000
2015,Bachelor,7,22750000
2015,Bachelor,8,24250000
2015,Bachelor,9,25750000
2015,Bachelor,10,27250000
2015,Bachelor,11,28750000
2015,Bachelor,12,30250000
2015,Bachelor,13,31750000
2015,Bachelor,14,33250000
2015,Bachelor,15,34750000
2015,Bachelor,16,36250000
2015,Bachelor,17,37750000
2015,Bachelor,18,39250000
2015,Bachelor,19,40750000
2015,Bachelor,20,42250000
2015,Bachelor,21,43750000
2015,Bachelor,22,45250000
2015,Bachelor,23,46750000
2015,Bachelor,24,48250000
2015,Bachelor,25,49750000
2015,Master,5,27250000
2015,Master,6,29250000
2015,Master,7,31000000
2015,Master,8,32750000
2015,Master,9,34750000
2015,Master,10,36500000
2015,Master,11,38250000
2015,Master,12,40250000
2015,Master,13,42000000
2015,Master,14,44000000
2015,Master,15,45750000
2015,Master,16,47500000
2015,Master,17,49500000
2015,Master,18,51250000
2015,Master,19,53000000
2015,Master,20,55000000
2015,Master,21,56750000
2015,Master,22,58500000
2015,Master,23,60500000
2015,Master,24,62250000
2015,Master,25,64000000
2015,Doctorate,9,39000000
2015,Doctorate,10,41000000
2015,Doctorate,11,43000000
2015,Doctorate,12,45000000
2015,Doctorate,13,47000000
2015,Doctorate,14,49000000
2015,Doctorate,15,51000000
2015,Doctorate,16,53000000
2015,Doctorate,17,55000000
2015,Doctorate,18,57000000
2015,Doctorate,19,59000000
2015,Doctorate,20,61000000
2015,Doctorate,21,63000000
2015,Doctorate,22,65000000
2015,Doctorate,23,67000000
2015,Doctorate,24,69000000
2015,Doctorate,25,71000000
2016,Bachelor,3,17250000
2016,Bachelor,4,18750000
2016,Bachelor,5,20250000
